Branch,City,cogs,Customer type,Date,Gender,gross income,Sum of gross margin percentage,Invoice ID,Payment,Product line,Rating,Sum of Quantity,Tax 5%,Total,Unit price
A,Yangon,104.85,Member,01-04-2019,Male,5.2425,4.761904762,132-23-6451,Cash,Health and beauty,7.8,5,5.2425,110.0925,20.97
A,Yangon,108.16,Member,01-01-2019,Female,5.408,4.761904762,182-52-7000,Ewallet,Sports and travel,6.9,4,5.408,113.568,27.04
A,Yangon,109.6,Normal,02-02-2019,Female,5.48,4.761904762,642-32-2990,Ewallet,Food and beverages,6,10,5.48,115.08,10.96
A,Yangon,113.24,Member,03-07-2019,Female,5.662,4.761904762,748-45-2862,Cash,Home and lifestyle,8.2,4,5.662,118.902,28.31
A,Yangon,116.06,Normal,03-10-2019,Male,5.803,4.761904762,745-74-0715,Ewallet,Electronic accessories,8.8,2,5.803,121.863,58.03
A,Yangon,119.54,Normal,03-11-2019,Male,5.977,4.761904762,448-81-5016,Credit card,Health and beauty,5.8,2,5.977,125.517,59.77
A,Yangon,12.09,Normal,1/26/2019,Female,0.6045,4.761904762,308-39-1707,Credit card,Fashion accessories,8.2,1,0.6045,12.6945,12.09
A,Yangon,121.74,Normal,03-09-2019,Male,6.087,4.761904762,816-57-2053,Ewallet,Sports and travel,8.7,2,6.087,127.827,60.87
A,Yangon,123.84,Member,3/26/2019,Male,6.192,4.761904762,760-53-9233,Credit card,Fashion accessories,8.5,3,6.192,130.032,41.28
A,Yangon,129,Member,2/13/2019,Male,6.45,4.761904762,151-16-1484,Ewallet,Electronic accessories,6.5,4,6.45,135.45,32.25
A,Yangon,129.12,Normal,1/17/2019,Male,6.456,4.761904762,746-54-5508,Credit card,Home and lifestyle,9.4,6,6.456,135.576,21.52
A,Yangon,131.55,Normal,1/18/2019,Female,6.5775,4.761904762,700-81-1757,Credit card,Electronic accessories,8.8,5,6.5775,138.1275,26.31
A,Yangon,133.7,Normal,1/15/2019,Female,6.685,4.761904762,301-11-9629,Cash,Sports and travel,9.7,7,6.685,140.385,19.1
A,Yangon,133.95,Normal,2/14/2019,Male,6.6975,4.761904762,150-89-8043,Cash,Sports and travel,6.2,3,6.6975,140.6475,44.65
A,Yangon,135.24,Member,3/25/2019,Male,6.762,4.761904762,134-75-2619,Cash,Electronic accessories,6.9,7,6.762,142.002,19.32
A,Yangon,136.14,Normal,2/17/2019,Male,6.807,4.761904762,788-21-5741,Credit card,Fashion accessories,7.2,3,6.807,142.947,45.38
A,Yangon,136.4,Normal,02-03-2019,Female,6.82,4.761904762,585-86-8361,Credit card,Food and beverages,8.6,5,6.82,143.22,27.28
A,Yangon,138.65,Member,3/26/2019,Female,6.9325,4.761904762,595-94-9924,Credit card,Health and beauty,4.2,5,6.9325,145.5825,27.73
A,Yangon,139.65,Member,1/29/2019,Female,6.9825,4.761904762,816-72-8853,Cash,Sports and travel,5.9,5,6.9825,146.6325,27.93
A,Yangon,139.95,Member,03-07-2019,Female,6.9975,4.761904762,423-64-4619,Cash,Health and beauty,5,9,6.9975,146.9475,15.55
A,Yangon,140.64,Member,3/24/2019,Female,7.032,4.761904762,334-64-2006,Ewallet,Home and lifestyle,9.6,2,7.032,147.672,70.32
A,Yangon,140.76,Normal,1/13/2019,Female,7.038,4.761904762,459-50-7686,Ewallet,Electronic accessories,6.4,6,7.038,147.798,23.46
